Ticker,Shares,Cost/Sh
AAPL,"4,000",$25.59 
ARKVX,"2,372.72",$42.15 
BP,"2,000",$43.60 
BTC,400,$28.95 
CCL,"1,500",$51.38 
CFG,"1,000",$37.00 
CRWV,"1,000",$150.00 
DIA,"2,500",$32.88 
DNP,"66,000",$8.14 
EWS,"5,000",$23.27 
F,"25,000",$7.08 
GBTC,"2,000",$11.71 
GLD,"3,500",$118.13 
GOOG,"1,000",$165.67 
IBM,"1,000",$138.00 
IWM,"3,000",$64.05 
MINGX,"5,722.05",$20.99 
NEM,"1,000",$75.00 
NVDA,500,$179.00 
PDGIX,"18,958.42",$74.78 
QQQ,"3,200",$70.27 
RIO,"1,000",$55.30 
SMR,"4,000",$9.67 
SPY,"1,000",$274.36 
TSLA,"1,900",96.842105*
WMB,"1,000",$72.05 
WOR,200,$17.35 
WS,200,$19.91 
XBI,500,$85.43 
